key,value
零售業,2
自由工作者,6
旅遊業,3
大學行政或教職人員,5
共同工作空間,3
貿易與業務,3
NPO,5
活動策展公司,3
文教業,2
餐飲業,3
歌手,1
科技產業,12
專利事務所,1
公務人員,2
醫療醫護業,5
農業,1
國中教師,1
傳統產業,3
