key,value
成功大學,53
長榮大學,3
嘉南藥理大學,2
陽明大學,2
南台科技大學,3
崑山科技大學,2
台南大學,1
南華大學,1
高雄大學,4
高雄醫學大學,4
高雄師範大學,2
中正大學,3
中山大學,1
高雄應用科技大學,2
高雄第一科技大學,2
嘉義大學,1
臺南應用科技大學,1
雲林科技大學,1
長庚大學,1
中信金融管理學院,1
中山醫學大學,1
文藻大學,1
